file	sample	sample_name	condition	replicate
PrimaryNHU_Y2332_GR_IP_3	PrimaryNHU_Y2332_GR_IP_3	PrimaryNHU_Y2332_GR_IP_3	PrimaryNHU_GR	3
MCF10A_IgG_1	MCF10A_IgG_1	MCF10A_IgG_1	MCF10A_IgG	1
MCF10A_IgG_2	MCF10A_IgG_2	MCF10A_IgG_2	MCF10A_IgG	2
MCF10A_IgG_3	MCF10A_IgG_3	MCF10A_IgG_3	MCF10A_IgG	3
MCF10A_GR_1	MCF10A_GR_1	MCF10A_GR_1	MCF10A_GR	1
MCF10A_GR_2	MCF10A_GR_2	MCF10A_GR_2	MCF10A_GR	2
MCF10A_GR_3	MCF10A_GR_3	MCF10A_GR_3	MCF10A_GR	3
BB7_IgG_IP	BB7_IgG_IP	BB7_IgG_IP	PDX_IgG_IP	1
BB7_GR_IP	BB7_GR_IP	BB7_GR_IP	PDX_GR_IP	1
BB3RC31_IgG_IP	BB3RC31_IgG_IP	BB3RC31_IgG_IP	PDX_IgG_IP	1
BB3RC31_GR_IP	BB3RC31_GR_IP	BB3RC31_GR_IP	PDX_GR_IP	1
HBC34_IgG_IP	HBC34_IgG_IP	HBC34_IgG_IP	PDX_IgG_IP	1
HBC34_GR_IP	HBC34_GR_IP	HBC34_GR_IP	PDX_GR_IP	1
