"","Breast Epithelial","CD4+","Urothelial","Jurkat","KMBC2","MDA-MB-231","MCF7"
"SFI1",-0.13690596581975,0.967379456439752,-0.393239111264013,0.620463403904879,0.0255194824394233,-0.229495766916968,0.0818295234783567
"NFIB",3.71221439707743,-0.649828902778192,0.106517712577976,-1.35911480966157,0.199535650382524,-0.401211480145865,0.111667756710185
"COPE",1.6457966117223,3.62953630899403,2.54195337820291,1.71090045466921,1.46146454282559,1.51715721524575,1.99232785014576
"FOXO3",1.45171031655942,0.126024472138497,0.173716255780599,0.272742727996747,0.670411437566708,0.178761430436917,0.178490755274745
"ZEB2",-0.564619718000777,-0.0687925748529684,-0.636297974805596,-1.15018605996158,-1.34920260500556,-0.397041732860874,-1.58529990008925
"ACSL3",1.35970543006383,0.261949731785401,1.68297986990222,0.912758267691858,1.29804590263885,0.951663417452044,0.907600154981182
"ACSL4",-0.46407243633079,-0.00705118489496087,-0.0405310246669025,0.918698603626912,0.609567318474302,1.32264782696071,-1.34154878600794
"BCAR3",0.0622869637770504,-0.594296977468218,-0.465930322392135,-0.935848269912895,0.479860383088824,1.31858419389728,0.256829200252256
"ESR1",1.11897996484925,-0.493603168314834,-0.764020306584005,-1.29721942995623,-0.64498930813421,-1.74417939683174,1.35527139814029
"GNAI2",0.585949889970412,3.92612263499575,2.20236692872428,2.24288655484757,1.22918195576317,2.1689464436194,1.84474031671429
"NR3C2",0.117464255668881,0.17059759511136,-0.658510760651239,-0.908829234956089,-1.31358722534926,-0.608006063589153,-1.51499887549019
"NR2F6",-0.0599432158993767,-0.459211683329961,1.78333855611229,0.1567403061448,1.00180413467423,0.454720831840239,0.993466561664745
"NR2F1",-0.670722334201386,-0.652552903072589,-0.775618048798347,-1.2334757671451,0.0487025998477419,0.562771029348813,-1.3849472815769
"SKI",-0.232427806406653,0.256234826268626,-0.258552437353619,0.568267746284443,0.743053286427684,0.967576193251107,0.415642178154348
"RARG",-0.425885921434151,-0.30357470973715,-0.109281946790561,-0.0440423898810825,1.49208912945278,0.277237250245061,1.41481472279333
"TFEB",-0.552325335351087,-0.458018461298986,-0.624329940371557,-0.200028543716723,-0.330940483635903,-0.897124380063713,-0.838774916802478
"RXRA",-0.478794072836935,-0.467909643924172,1.99361231620228,-0.301615705861533,1.49540380827567,0.442556971907074,1.15829033873347
"RXRG",-0.774342143200232,-0.65395022887202,-0.799174330774427,-1.37947498954562,-1.54721710358903,-1.77613059216192,-1.58529990008925
"HOXB8",-0.773615676376997,-0.65358127205981,0.249232131917945,-1.32008613880251,-1.31026161678554,-1.5270927182445,-1.58529990008925
"HOXC8",-0.744813403502854,-0.653220165392542,-0.798922721958479,-1.26316778859807,-1.32656823287665,-1.45736793705214,-0.798046043042269
"HIVEP2",0.145834921783337,1.60488187692288,0.117512543101273,0.303839118884814,-0.55047878050803,-0.35367300011597,-0.525181028311364
"PPARG",-0.558085789925916,-0.631961972893332,2.8215429934184,-0.946789830444446,1.45377003503666,1.07416409810046,-0.317285360758864
"ZEB1",-0.599049972087865,1.32175854949434,-0.755038346588288,1.16171870341911,-1.52061075413708,0.902034720622894,-1.51266232251461
"PBX1",1.95535267177127,-0.624339482155986,0.970034421574172,-1.16465448669293,1.29717315873282,0.142441915075188,1.34847310753554
"PBX3",-0.095356336864959,-0.129168039591307,-0.281425102924106,0.514336895276638,0.607351663804475,0.159756083003276,0.527877138259814
"ETV5",-0.58349930873638,-0.648651381037099,-0.734995093363175,0.295869676036693,-1.50297009348662,1.02029216921836,-1.21209588434878
"ARHGAP25",-0.704866274893434,1.49986263790722,-0.753903733248449,0.36529580572075,-1.52737536382543,-1.31996477109105,-1.58529990008925
"CSNK1E",0.963729731389664,-0.0524485730865893,1.36202196747602,1.10769464584045,0.610941919561207,0.758560387434068,0.713938090363866
"NEK2",-0.764658767779934,-0.626686675493233,-0.776857103533485,1.21847994025143,0.95369159524204,1.00669434620775,0.540111626946629
"AGFG1",0.510922960467247,0.310345875344348,0.204284353250164,0.660931075140069,0.32537177976002,0.230958156784909,0.405792841716985
"CRIP2",0.281034670921637,0.566134998089639,1.19422737125583,-0.292791737761895,0.159652444921912,0.105151282216903,2.15351497646175
"PKNOX1",-0.283417230729246,-0.16618932313129,-0.298263904247999,0.251096945136602,-0.16255267245418,-0.351775230008438,-0.172434624534344
"PKNOX2",-0.660064638571102,-0.652843358435392,-0.796795915363299,-1.37220208838716,-1.49871809003362,-1.68368003137166,-1.58529990008925
"GSDMD",-0.0327605367076222,1.42111783400782,0.450519184676068,1.02134959527877,1.0197070628408,1.08576338952187,-1.39215007242601
"IRX4",-0.713280470040198,-0.653589122204751,-0.798742323184781,-1.37190065257029,-1.54721710358903,-1.79609266431506,-0.0353318076036499
"SATB1",-0.523741002523914,3.07392660053149,0.301334146163709,1.30283776177782,-1.19890918087027,-0.463076853136015,-1.55082798058596
"SATB2",-0.726215852828036,-0.649334343646933,-0.756457800097125,0.142092258305636,-1.08116914769874,-0.176708779652044,-0.641802905528419
"MECOM",-0.652987997045941,-0.606817958648513,1.67993208009395,-0.840082858100958,1.05317033964835,0.712619375968979,-0.103943282403688
"PRDM16",-0.736027428275964,-0.650574666547551,-0.677091834342165,-1.27181613038207,-1.53593550751272,-1.77843007062355,-0.861533695270617
"CDC20",-0.7267243796043,-0.4259820197963,-0.734696011185728,2.00719083572276,1.88777925124261,2.02786469321877,1.61785796539272
"FOXC1",-0.399224589021424,-0.653141663943135,0.546439111585923,-1.13228943436624,0.611596002762435,-0.163893143161304,-0.402284808182717
"CHAF1A",-0.625040391022663,-0.365567304333258,-0.522072319701511,1.37951062349738,0.837312677041949,0.850761384036497,0.708391047509734
"SKP2",-0.698131500108619,-0.262950209669421,-0.534999316037841,1.38434652510248,0.745175195200219,0.451125646756181,0.379179085353534
"MAMLD1",-0.654936637465913,-0.61936249026363,-0.79555211329201,-1.14811218771975,-1.51086546814545,0.445244181695639,-0.859297808899801
"KLF5",0.397081335932058,-0.500864552384912,4.65649285677159,-0.621498060662965,1.73850359699561,0.367123056674051,-0.0523287332773423
"E2F2",-0.767662921760724,-0.581752445853101,-0.790315801518609,0.697628064501166,-0.324849235920387,-0.719385411861611,-0.148986976129514
"E2F3",-0.317035551308012,-0.177367929526738,-0.190375942904105,0.813305087473779,0.182852221484725,0.544834224312804,0.128187101825049
"TEAD1",0.542955874037659,-0.647261905382608,0.443929882099929,-0.472951425478105,0.0650381207424064,0.915291353599389,0.11487024701911
"TEAD2",-0.40373722999399,-0.649279392632348,-0.793168950544733,-1.35539197743882,-0.692811925981015,0.0329358219217457,0.835610616537791
"TEAD3",-0.294331326414789,-0.64501676392959,-0.0728271524950513,-0.757677914252561,0.774962484477669,0.576303563184913,0.33826662872329
"TEAD4",-0.479845313063499,-0.642748072041749,-0.730280988566269,-0.70873125465213,0.866159010017431,1.00611794965941,0.950232082416777
"IQCC",-0.730425087068545,-0.610727330828944,-0.739471831352584,-0.00798135781730025,-0.482451270288447,-0.853183407439925,-0.484001387541894
"CDCA2",-0.736548775054991,-0.566217009015606,-0.763108818043213,0.914927422383577,0.424390584253629,0.539837310632361,0.393617303148232
"GRHL2",0.57755706149492,-0.651846390027932,-0.32708972935053,-1.37170934051039,0.951494469072544,-1.77694231360396,1.5635500510789
"TAOK1",0.513726267738083,0.695756591349222,0.759893586896382,0.6888345624774,0.460140239433021,0.585754591894791,0.326507061241445
"TTC21B",-0.311514403451426,-0.0657388684710656,-0.573837273080628,0.302144454713398,-0.39036840493061,-0.455450239998802,-0.424553142199011
"MAML2",2.3737291886066,2.8196447056148,0.165968603183872,-1.24860309754886,-0.0782796465494777,-0.274963901346272,-1.54744105958069
"ZBTB44",0.164932452565911,0.571614399258194,1.03071012490676,1.0382037041224,0.524162270316847,0.367625785460129,-0.126519540266007
"KNL1",-0.724207385728504,-0.516918098788488,-0.730266746557819,1.51146637935884,0.836729748938663,0.900373125402803,0.6817638456986
"MITD1",-0.237175480763207,1.09650649056808,-0.00933153148939352,1.1264299679256,0.868148503740655,0.831673348110973,0.494583640488094
"ZNF516",-0.326522353352611,-0.466323914646166,-0.503795075524182,-0.545157971089942,-1.50419601010742,-0.561387658389347,-0.356811080564102
"TFAP2C",-0.0422473387522213,-0.654028730321426,-0.284078863831931,0.325750336010904,0.369119988426759,0.815859137906629,1.60084525451894
"TFAP2A",1.06985371426154,-0.652780557275867,0.153074838200592,-0.323819895427759,0.834665114815512,-0.0860391330875396,0.990248406877783
"TBC1D31",-0.680580916326111,-0.328655922822444,-0.733300294357641,0.80561457052106,0.0437243460089094,0.257944707527178,0.0410177123523508
"LCOR",0.526678743862939,0.626008053551778,1.43217810110006,0.495808577383135,-0.187510834789557,0.263520658535822,-0.0313439024318798
"CCDC77",-0.627630031580783,-0.377648677396878,-0.685385430596138,0.932545374577538,0.286574684833051,0.332793538624644,-0.0256511419723208
"TRIM9",-0.729566146883426,-0.645597674655196,-0.733960174082485,-0.440129419991987,-0.845407794979735,-1.46698618110912,-1.54564420518797
"WWTR1",1.14347471679504,-0.603316794004995,-0.12867481496313,-1.31773957397257,0.616760981984487,0.922864679756335,-0.106301853015434
"BCL11A",-0.315321944272028,-0.595034891092637,-0.168125178369262,0.489454072706468,-1.53976798556455,-1.01648189254689,-1.58529990008925
"UPF2",0.775113304072314,1.72216304233581,0.566169040625139,0.751888611916659,0.440466728994583,0.345902998470881,0.762042188586571
"CPAP",-0.636129693412633,-0.463874669424691,-0.633601487872421,0.610398852294456,0.0868806470646743,-0.0802471557903411,0.080720993935853
"DCAF16",-0.298459367304466,0.258283714098129,-0.191771659732192,0.699872926647731,0.370413706897649,0.518878580882487,-0.206360346935433
