"Feature"	"HBC34_GR_IP"	"BB3RC31_GR_IP"	"BB3RC31_IgG_IP"	"HBC34_IgG_IP"	"BB7_IgG_IP"	"BB7_GR_IP"	"PrimaryBreastEpis _3137_GR_IP_1"	"PrimaryBreastEpis_2528_GR_IP_2"	"PrimaryBreastEpis_3353_GR_IP_3"	"PrimaryBreastEpis_GR_IP_Pool"	"PrimaryNHU_Y2332_GR_IP_3"	"PrimaryNHU_Y2680_GR_IP_2"	"PrimaryNHU_Y3018_GR_IP_1"	"PrimaryNHU_GR_IP_Pool"	"231_GR_IP_Pool"	"231_040423_GR_IP_2"	"231_270323_GR_IP_3"	"231_230323_GR_IP_1"	"MCF10A_GR_2"	"MCF10A_GR_3"	"MCF10A_GR_1"	"KMBC2_230323_GR_IP_1"	"KMBC2_270323_GR_IP_3"	"KMBC2_120423_GR_IP_2"	"KMBC2_GR_IP_Pool"	"MCF7_040423_GR_IP_2"	"MCF7_230323_GR_IP_1"	"MCF7_270323_GR_IP_3"	"MCF7_GR_IP_Pool"	"Jurkat_230323_GR_IP_1"	"Jurkat_040423_GR_IP_2"	"Jurkat_120423_GR_IP_3"	"Jurkat_GR_IP_Pool"	"PrimaryCD4_plus_T_D035_GR_IP_4"	"PrimaryCD4_plus_T_D029_GR_IP_3"	"PrimaryCD4_plus_T_D017_GR_IP_2"	"PrimaryCD4_plus_T_GR_IP_Pool"	"PrimaryCD4_plus_T_D001_GR_IP_1"	"KMBC2_230323_IgG_IP_1"	"MCF7_270323_IgG_IP_3"	"MCF7_040423_IgG_IP_2"	"MCF7_230323_IgG_IP_1"	"231_230323_IgG_IP_1"	"231_040423_IgG_IP_2"	"231_270323_IgG_IP_3"	"PrimaryBreastEpis_IgG_IP_Pool"	"PrimaryBreastEpis_3137_IgG_IP_1"	"PrimaryBreastEpis_3353_IgG_IP_3"	"PrimaryBreastEpis_2528_IgG_IP_2"	"PrimaryNHU_Y2332_IgG_IP_3"	"MCF10A_IgG_3"	"MCF10A_IgG_1"	"MCF10A_IgG_2"	"MCF7_IgG_IP_Pool"	"231_IgG_IP_Pool"	"PrimaryNHU_IgG_IP_Pool"	"KMBC2_IgG_IP_Pool"	"PrimaryNHU_Y2680_IgG_IP_2"	"PrimaryNHU_Y3018_IgG_IP_1"	"KMBC2_270323_IgG_IP_3"	"KMBC2_120423_IgG_IP_2"	"Jurkat_230323_IgG_IP_1"	"Jurkat_040423_IgG_IP_2"	"PrimaryCD4_plus_T_IgG_IP_Pool"	"Jurkat_IgG_IP_Pool"	"Jurkat_120423_IgG_IP_3"	"PrimaryCD4_plus_T_D035_IgG_IP_4"	"PrimaryCD4_plus_T_D029_IgG_IP_3"	"PrimaryCD4_plus_T_D017_IgG_IP_2"	"PrimaryCD4_plus_T_D001_IgG_IP_1"
"Q14839"	"15.3601184117927"	"15.3979133162127"	"17.0261484931748"	"16.4390912026466"	"16.3956711606697"	"13.0793091197344"	"14.4352681802257"	"14.2171956631373"	"14.4526453550597"	"15.3417059408393"	"14.5034589923202"	"14.4517423685485"	"14.4559410232588"	"14.7488731652089"	"15.7683991649218"	"15.3110177299961"	"15.1708443268553"	"13.4307773003094"	"15.3503629416838"	"15.7197401150592"	"15.5758426754545"	"13.9738473183204"	"14.3923340680625"	"15.1898540051565"	"15.4479865301691"	"14.8083161203486"	"14.8619503670638"	"14.9620108220445"	"14.8367034747264"	"15.2515715951613"	"15.3856540018953"	"15.071602854393"	"15.625236508399"	"15.6301605392798"	"15.1244340787567"	"15.2588744581237"	"15.303635903179"	"14.6081340812949"	"14.860732844712"	"14.2477267462841"	"14.4087637031616"	"13.7923962884945"	"14.6250471646656"	"14.1780459035416"	"13.2648475776129"	"14.4428995441647"	"13.5717513785669"	"12.9955535927166"	"12.849382646736"	"13.3293632473835"	"14.4226102373927"	"14.151717140546"	"14.4715203968679"	"14.3997024187486"	"14.2965157041391"	"13.4457706736025"	"13.4936817430098"	"12.552008927598"	"0.412081524556717"	"12.9036234693968"	"12.6632295167255"	"13.6035007844935"	"13.1188467698318"	"12.7462447108228"	"13.3099632410146"	"12.5086433490154"	"12.3803722800175"	"0.449634863445484"	"0.455814962526523"	"0.479850835370426"
"Q14320"	"14.6839119426119"	"13.4259840609759"	"13.6627719576395"	"12.8900756567465"	"9.76797029216109"	"11.2295972947981"	"13.3212085410562"	"13.3318349146002"	"13.5688852261631"	"14.2764622049219"	"12.3797484979869"	"13.1519372986418"	"12.6348535251955"	"13.3948000740218"	"15.6510231601137"	"15.0233411065075"	"15.6274142332806"	"13.8920267062439"	"14.0150873252933"	"11.920230728366"	"13.0111998786436"	"13.1233050984071"	"12.8662091363652"	"13.8025469193976"	"14.3707653588715"	"14.145686599679"	"14.3486403933478"	"14.2691553860616"	"13.8392576038253"	"13.9632073058457"	"14.37028836153"	"14.2337313212204"	"14.3257772777341"	"14.2325117152936"	"13.7201573687472"	"14.2348878609864"	"13.608339880748"	"0.395651517070873"	"13.1327828007951"	"13.4473175816533"	"13.6941562754348"	"12.9902704489102"	"14.3949993894244"	"13.7779813846735"	"14.1218846026668"	"13.8342236182987"	"12.7977963808082"	"13.1660339099633"	"12.5588290504963"	"12.7326768284337"	"13.1803141970875"	"0.37819716564407"	"0.369504882403623"	"13.382477006595"	"14.7291943268886"	"0.39285989934754"	"0.386985963791112"	"0.370999073095531"	"0.412081524556717"	"0.370502804072453"	"0.400182122273049"	"0.368360931496149"	"0.391155194740165"	"0.444708632457867"	"0.429963636579622"	"0.452720354607125"	"0.441483492276402"	"0.449634863445484"	"0.455814962526523"	"0.479850835370426"
"P14678"	"12.5582340550554"	"11.6697849124861"	"10.3894324369525"	"9.89566824478835"	"9.76797029216109"	"10.8424427687306"	"0.227434530528418"	"0.23290222967509"	"0.236570305257"	"0.257673540719149"	"11.8778813463368"	"12.2080949782817"	"0.276518261022654"	"0.284717905962236"	"14.3777489594073"	"15.133044988575"	"14.4942520824941"	"13.0203900305972"	"13.232633778119"	"13.8880237609633"	"13.1438299576052"	"0.211712265881187"	"0.223921629445472"	"0.241795874015053"	"0.262672739188689"	"12.2858228245955"	"11.7829737146476"	"0.279740018358727"	"0.290000913878612"	"0.272377246154312"	"13.3157938990544"	"13.6862744697163"	"13.0307863192193"	"0.312574428693554"	"0.329053100015605"	"0.3397603796032"	"0.370630361214143"	"0.395651517070873"	"0.329443761193567"	"12.7654090164462"	"0.318365226481018"	"12.8163602149618"	"14.1493472426418"	"13.7146940859646"	"12.7029332986187"	"0.340882181417894"	"0.319392624821784"	"0.308974405103524"	"0.325645322191912"	"0.323837015063546"	"13.7678088520814"	"13.8768072047943"	"13.2126708629178"	"12.8060591609442"	"12.7964282845893"	"12.1094623995881"	"0.386985963791112"	"0.370999073095531"	"12.6435637337838"	"0.370502804072453"	"0.400182122273049"	"11.6767866996284"	"0.391155194740165"	"0.444708632457867"	"0.429963636579622"	"12.0134091115757"	"0.441483492276402"	"0.449634863445484"	"0.455814962526523"	"0.479850835370426"
"Q14318"	"16.1050134183855"	"15.4394095670334"	"14.0374695393658"	"13.8285945116385"	"14.40867035001"	"15.2074483848005"	"12.6566321608511"	"12.6959331463486"	"12.5950242827715"	"12.3450416601827"	"11.3588179726349"	"12.2395831165833"	"11.7150310382334"	"11.4316961785507"	"12.4529128375041"	"12.8180856567568"	"13.0204034617652"	"11.9092679847981"	"0.2570679445198"	"0.267844977514741"	"0.279599759398424"	"11.4217552656924"	"10.0212455277272"	"10.6688037821103"	"10.8846764218277"	"12.3517474652631"	"12.899939747089"	"11.6656508406579"	"12.5319111287612"	"12.6528635687901"	"12.4065926774828"	"12.7123524174531"	"11.9666108747178"	"12.8029454004717"	"12.3537971683876"	"0.3397603796032"	"11.1480449404218"	"0.395651517070873"	"12.5975452276937"	"11.8893534671386"	"0.318365226481018"	"11.7689873878919"	"13.0283636555982"	"0.334714350441347"	"10.6434860583653"	"12.7490069031386"	"13.2005353135468"	"12.7220684520937"	"12.106310993328"	"0.323837015063546"	"0.31505628906761"	"13.20544097784"	"0.369504882403623"	"12.2907082450669"	"11.3964599614012"	"11.2394494820413"	"10.7687263835226"	"11.3678697934192"	"0.412081524556717"	"0.370502804072453"	"0.400182122273049"	"11.8080601402316"	"11.1617207785248"	"0.444708632457867"	"10.6449215498067"	"0.452720354607125"	"0.441483492276402"	"0.449634863445484"	"0.455814962526523"	"0.479850835370426"
"Q14331"	"13.6447451749154"	"12.9405630344173"	"12.5297592673395"	"12.7418437837359"	"12.6334455482162"	"11.9603156660135"	"12.3287446991937"	"11.811738160517"	"12.3716172070901"	"12.0968209217857"	"11.9243514937364"	"11.5065963820024"	"11.3975568402469"	"11.5029062878009"	"13.6288454204977"	"13.6997649921051"	"14.1072740309343"	"12.7541271170256"	"12.1068832083795"	"11.9207925133555"	"12.347127742824"	"12.8285059192284"	"12.9639724247981"	"12.8764321018351"	"13.3301988823855"	"12.9094502735639"	"13.2074346885701"	"12.7616530802032"	"13.4941605018425"	"13.8898917038599"	"14.2095530107958"	"13.8038995579536"	"13.9744415499461"	"12.988447660214"	"12.7450639580688"	"13.0112036130457"	"12.6066725230037"	"12.8271092070612"	"13.4699039937517"	"12.4904959490716"	"12.9039998980526"	"12.7360231684566"	"13.3842716119971"	"12.2676586072978"	"12.5671336128016"	"12.4869636285056"	"0.319392624821784"	"12.0918162098402"	"0.325645322191912"	"0.323837015063546"	"11.5046313818296"	"0.37819716564407"	"12.2734411086419"	"13.0260945481843"	"12.6286728646912"	"0.39285989934754"	"11.30985416142"	"0.370999073095531"	"0.412081524556717"	"11.1800744044985"	"10.8935640840996"	"11.861996796773"	"11.8023350331643"	"0.444708632457867"	"11.4978550800697"	"0.452720354607125"	"0.441483492276402"	"0.449634863445484"	"0.455814962526523"	"0.479850835370426"
"O95479"	"13.0009318178078"	"12.0033024932577"	"12.9845458722168"	"12.3336494153575"	"13.3559278668653"	"11.4512831522008"	"0.227434530528418"	"0.23290222967509"	"0.236570305257"	"0.257673540719149"	"0.242670870742298"	"0.266193626030245"	"0.276518261022654"	"10.7160483852818"	"0.25714892225122"	"0.235349384638161"	"0.246501282594354"	"0.251755447876583"	"0.2570679445198"	"10.8983074485718"	"0.279599759398424"	"0.211712265881187"	"0.223921629445472"	"0.241795874015053"	"0.262672739188689"	"0.255365120876564"	"0.276345124792813"	"0.279740018358727"	"0.290000913878612"	"0.272377246154312"	"0.296245038674946"	"0.30243348702247"	"0.307278662683379"	"0.312574428693554"	"0.329053100015605"	"0.3397603796032"	"0.370630361214143"	"0.395651517070873"	"14.8594051762971"	"12.7940927110392"	"14.0882088552481"	"13.1191845905201"	"13.6447933621356"	"0.334714350441347"	"0.339967453319669"	"14.2404250951833"	"0.319392624821784"	"12.8003905414092"	"11.0437780201795"	"0.323837015063546"	"13.6080150959737"	"13.8053157168374"	"12.509776082103"	"14.1401095425167"	"13.6904187991124"	"13.8369661879922"	"13.0639355362019"	"0.370999073095531"	"12.7993762696416"	"0.370502804072453"	"0.400182122273049"	"13.0948515970496"	"0.391155194740165"	"13.5236977395947"	"13.504339030535"	"0.452720354607125"	"12.5813286930166"	"12.4864280284845"	"0.455814962526523"	"13.5052151914632"
"O95721"	"17.2725203977987"	"15.669904985382"	"15.0683134534298"	"14.6692627910466"	"13.6362676671875"	"13.853223113179"	"13.7643550455123"	"13.2512818656682"	"13.7310516504877"	"14.2081546274934"	"12.8529692656364"	"12.9510022490197"	"12.9678697238582"	"11.7534867438381"	"12.2723356019143"	"12.0701200233551"	"0.246501282594354"	"11.264405626158"	"12.054805353977"	"12.6726269614717"	"13.1393945790511"	"12.7308895757138"	"12.3259679656406"	"12.6148193880644"	"12.3302660907279"	"12.2021400711755"	"12.3709246066613"	"12.9270689442972"	"12.4726419405062"	"13.5850932018537"	"13.1633762805801"	"13.5710506424385"	"13.4602039754235"	"13.1941523485707"	"12.7429391274345"	"12.7352470932313"	"12.5932515764186"	"0.395651517070873"	"0.329443761193567"	"12.0053254490932"	"0.318365226481018"	"0.311718829352087"	"12.7517519518035"	"12.9733923194451"	"0.339967453319669"	"0.340882181417894"	"0.319392624821784"	"12.6873320713352"	"0.325645322191912"	"0.323837015063546"	"0.31505628906761"	"0.37819716564407"	"0.369504882403623"	"0.330658404159686"	"0.345096965216427"	"0.39285989934754"	"0.386985963791112"	"12.6618388346437"	"0.412081524556717"	"0.370502804072453"	"0.400182122273049"	"0.368360931496149"	"12.2410380909154"	"0.444708632457867"	"0.429963636579622"	"0.452720354607125"	"0.441483492276402"	"0.449634863445484"	"0.455814962526523"	"0.479850835370426"
"P62316"	"15.5369927048473"	"14.9241676426517"	"16.7273558276221"	"16.2742630702873"	"16.1429731047683"	"13.4930569949149"	"13.8529730465873"	"14.1030060827643"	"14.2181210522062"	"13.7617391862178"	"14.6391316438222"	"14.1680130070552"	"14.6661046561368"	"13.8503753160271"	"14.7039841729518"	"15.029463296935"	"15.3329320052152"	"13.923796714196"	"15.0222910825594"	"15.7882412209432"	"15.4671413111429"	"13.7346353497373"	"14.2643803388273"	"14.5950085485243"	"13.9553912338793"	"14.5960033295538"	"14.6814506923924"	"14.7365265776431"	"14.5888988500266"	"14.7689492119738"	"15.3158147083708"	"14.6243922205528"	"13.7301343400615"	"15.9201339582511"	"14.3890077035242"	"14.0662783120492"	"13.4845942967857"	"16.0685820859012"	"16.2098864656698"	"14.4128840352531"	"15.6105959225791"	"14.997398120239"	"16.2314010594769"	"15.056608485338"	"14.6716848716171"	"14.7929910016555"	"14.4960811994756"	"14.3938061909962"	"13.9410023585941"	"14.2045358726064"	"15.2256093128945"	"15.4521895906319"	"15.2307014377186"	"14.0454172933208"	"14.2292514254082"	"13.2397030587858"	"13.4092160835071"	"14.03135224382"	"14.7466353100319"	"14.0968567811434"	"13.714948481694"	"14.9139748683012"	"13.9278956280321"	"12.522670075539"	"13.1647832368896"	"13.6250089467254"	"15.0116826745233"	"13.4134131556892"	"12.8655167286281"	"14.5779832689409"
"P61163"	"17.8626876990486"	"17.8826862583268"	"17.6201404601981"	"16.7910464297862"	"16.7657502221584"	"16.29093994412"	"13.9779951249244"	"13.9924501882926"	"14.0717872700458"	"16.2907788330856"	"14.1113502591775"	"14.0481021979852"	"14.2663815390277"	"15.9618079362202"	"14.8505371085818"	"12.7857451457673"	"12.3823863397112"	"12.0047423074044"	"14.0409145218003"	"14.1525802752586"	"13.9915480976582"	"12.3301519700427"	"11.2864059272187"	"11.974489128848"	"13.8394160051764"	"12.7760824172681"	"13.4851296578695"	"13.0984907294361"	"13.4540019013852"	"12.2163476417538"	"12.9031706635027"	"13.3750629412959"	"15.0978475731376"	"0.312574428693554"	"0.329053100015605"	"0.3397603796032"	"13.3136844870812"	"0.395651517070873"	"13.8677252716923"	"13.0170143478173"	"13.224846217344"	"12.3430981686401"	"0.286348252916763"	"12.9549595804822"	"0.339967453319669"	"16.2533132732028"	"13.776726137963"	"13.2018308887523"	"13.658088721952"	"13.3106355588511"	"14.7689900942467"	"14.7490251220394"	"14.5074820411552"	"12.6235457384825"	"14.1208055150928"	"14.340758413239"	"12.4250333626883"	"12.1630854204125"	"12.5471718926345"	"0.370502804072453"	"0.400182122273049"	"0.368360931496149"	"0.391155194740165"	"12.2654514666603"	"12.1678630375514"	"10.6679918488785"	"0.441483492276402"	"0.449634863445484"	"0.455814962526523"	"0.479850835370426"
"Q92805"	"16.2502347488901"	"15.211481131606"	"14.9315323872266"	"14.3018419998559"	"13.983312122254"	"13.5946012002561"	"0.227434530528418"	"0.23290222967509"	"0.236570305257"	"12.3379474043168"	"11.4828344276956"	"0.266193626030245"	"0.276518261022654"	"12.4887505322914"	"12.5356963396742"	"0.235349384638161"	"0.246501282594354"	"0.251755447876583"	"0.2570679445198"	"12.4376143549729"	"0.279599759398424"	"11.4081583341049"	"0.223921629445472"	"0.241795874015053"	"12.250812916974"	"12.7335802034815"	"0.276345124792813"	"0.279740018358727"	"0.290000913878612"	"0.272377246154312"	"0.296245038674946"	"0.30243348702247"	"0.307278662683379"	"0.312574428693554"	"0.329053100015605"	"0.3397603796032"	"0.370630361214143"	"0.395651517070873"	"14.9164794114389"	"13.7293778410789"	"14.7026082110029"	"13.8716885480777"	"14.3893523416921"	"14.9443131147839"	"13.5526100761306"	"13.951849086292"	"13.8608916044833"	"12.9755644405564"	"13.4733047675637"	"13.0322941552341"	"14.2078539778037"	"14.6948693546682"	"14.9151811955946"	"13.5475097787277"	"13.6054060057961"	"13.045808475815"	"12.8501759893328"	"13.5169592397866"	"14.0271073358333"	"13.7212694899267"	"13.5712091917667"	"0.368360931496149"	"0.391155194740165"	"0.444708632457867"	"0.429963636579622"	"0.452720354607125"	"0.441483492276402"	"0.449634863445484"	"0.455814962526523"	"0.479850835370426"
