,,,,,,,,Two color points Chart 1:,,,,,,,,,,,,,,,FDR cut-off,
ID,Uniprot Accession,Description,gene_name,-Log Student's T-test p-value,Student's T-test Difference,FDR Significant ,significant or not,Significant,Not significant,MS/MS count 957,MS/MS count 958,MS/MS count 959,MS/MS count 960,MS/MS count 961,MS/MS count 962,LFQ intensity 957,LFQ intensity 958,LFQ intensity 959,LFQ intensity 960,LFQ intensity 961,LFQ intensity 962,,x,y
145,O00422,Histone deacetylase complex subunit SAP18,SAP18,1.411,-0.895,,Not_Significant,#N/A,-0.895,5,2,2,2,2,3,22.667,22.579,22.336,22.876,23.789,23.602,,26.4,1.0
147,O00429,Dynamin-1-like protein,DNM1L,2.100,-0.932,,Not_Significant,#N/A,-0.932,9,7,7,12,10,11,23.236,23.344,23.449,24.117,24.075,24.633,,26.4,1.0
150,O00459,Phosphatidylinositol 3-kinase regulatory subunit beta,PIK3R2,0.979,1.422,,Not_Significant,#N/A,1.422,1,0,3,0,1,0,20.132,22.431,21.443,19.712,20.185,19.844,,26.3,1.0
153,O00487,26S proteasome non-ATPase regulatory subunit 14,PSMD14,2.329,0.447,,Not_Significant,#N/A,0.447,6,5,5,1,3,3,24.121,24.033,24.197,23.679,23.774,23.558,,26.3,1.0
156,O00515,Ladinin-1,LAD1,1.750,0.611,,Not_Significant,#N/A,0.611,0,0,0,0,0,0,20.353,20.472,20.304,20.060,19.578,19.659,,26.3,1.0
157,O00541,Pescadillo homolog,PES1,0.066,-0.160,,Not_Significant,#N/A,-0.160,1,0,0,0,0,1,22.447,19.817,22.091,21.381,22.050,21.406,,26.3,1.0
159,O00567,Nucleolar protein 56,NOP56,0.174,0.599,,Not_Significant,#N/A,0.599,8,8,2,4,6,0,24.327,23.546,22.916,23.026,25.128,20.837,,26.3,1.0
160,O00571;O15523,ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y,DDX3X;DDX3Y,1.247,-0.295,,Not_Significant,#N/A,-0.295,21,21,18,15,15,17,25.517,25.616,25.464,25.684,25.773,26.024,,26.3,1.0
161,O00625,Pirin,PIR,0.142,-0.178,,Not_Significant,#N/A,-0.178,2,0,0,0,0,0,21.380,20.041,21.195,21.445,20.928,20.777,,26.3,1.0
162,O00629,Importin subunit alpha-3,KPNA4,0.012,0.022,,Not_Significant,#N/A,0.022,1,3,3,0,1,0,20.436,22.126,21.493,20.737,21.917,21.334,,26.3,1.0
164,O00743,"Serine/threonine-protein phosphatase 6 catalytic subunit;Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed",PPP6C,1.720,0.546,,Not_Significant,#N/A,0.546,4,3,3,1,2,3,23.374,23.334,23.392,22.974,22.535,22.951,,26.3,1.0
165,O00762,Ubiquitin-conjugating enzyme E2 C,UBE2C,2.150,-0.827,,Not_Significant,#N/A,-0.827,3,0,1,2,1,0,24.685,24.794,24.954,25.588,25.907,25.420,,26.3,1.0
168,O14497,AT-rich interactive domain-containing protein 1A,ARID1A,0.956,-1.953,,Not_Significant,#N/A,-1.953,4,2,1,0,0,0,20.034,18.307,17.213,21.359,19.666,20.388,,26.2,1.0
169,O14503,Class E basic helix-loop-helix protein 40,BHLHE40,1.206,1.286,,Not_Significant,#N/A,1.286,1,0,4,0,0,0,21.148,20.324,21.952,19.555,20.156,19.855,,26.2,1.0
173,O14578,Citron Rho-interacting kinase,CIT,0.624,-0.891,,Not_Significant,#N/A,-0.891,5,1,3,4,2,1,21.663,21.233,19.713,22.167,21.809,21.307,,26.2,1.0
174,O14579,Coatomer subunit epsilon,COPE,0.382,0.213,,Not_Significant,#N/A,0.213,10,12,9,6,10,4,24.783,24.511,25.083,24.491,24.343,24.902,,26.2,1.0
175,P47813;O14602,"Eukaryotic translation initiation factor 1A, X-chromosomal;Eukaryotic translation initiation factor 1A, Y-chromosomal",EIF1AX;EIF1AY,0.274,-0.203,,Not_Significant,#N/A,-0.203,4,1,2,4,2,4,23.971,23.771,23.052,23.793,23.985,23.627,,26.2,1.0
176,O14617,AP-3 complex subunit delta-1,AP3D1,0.316,0.112,,Not_Significant,#N/A,0.112,8,6,13,6,7,4,23.026,23.181,23.404,23.103,22.923,23.250,,26.2,1.0
177,O14618,Copper chaperone for superoxide dismutase,CCS,1.039,2.017,,Not_Significant,#N/A,2.017,2,1,2,1,1,0,23.164,22.773,23.045,22.725,20.510,19.698,,26.2,1.0
182,O14683,Tumor protein p53-inducible protein 11,TP53I11,0.404,0.717,,Not_Significant,#N/A,0.717,2,2,3,2,2,1,21.849,21.716,22.356,21.909,22.054,19.808,,26.2,1.0
183,O14686,Histone-lysine N-methyltransferase 2D,KMT2D,0.559,0.335,,Not_Significant,#N/A,0.335,4,2,2,0,0,0,20.733,20.310,19.920,19.815,19.915,20.228,,26.2,1.0
185,O14737,Programmed cell death protein 5,PDCD5,1.006,0.514,,Not_Significant,#N/A,0.514,6,4,3,1,2,0,23.370,23.487,23.774,22.991,23.407,22.690,,26.2,1.0
186,O14744,"Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed",PRMT5,0.623,0.186,,Not_Significant,#N/A,0.186,12,10,6,8,4,2,22.946,23.356,23.123,22.968,23.059,22.840,,26.1,1.0
187,O14745,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,SLC9A3R1,0.949,0.593,,Not_Significant,#N/A,0.593,25,10,21,13,10,8,25.946,25.613,25.297,25.414,25.026,24.636,,26.1,1.0
188,O14776,Transcription elongation regulator 1,TCERG1,0.057,-0.043,,Not_Significant,#N/A,-0.043,5,3,4,3,0,5,23.415,22.782,23.046,23.132,22.789,23.452,,26.1,1.0
190,O14818,Proteasome subunit alpha type-7,PSMA7,1.559,0.353,,Not_Significant,#N/A,0.353,13,15,6,13,9,5,24.311,24.641,24.565,24.212,24.134,24.112,,26.1,1.0
196,O14908,PDZ domain-containing protein GIPC1,GIPC1,0.810,0.473,,Not_Significant,#N/A,0.473,3,3,4,1,1,0,22.558,22.418,21.874,22.072,21.871,21.487,,26.1,1.0
197,O14920,Inhibitor of nuclear factor kappa-B kinase subunit beta,IKBKB,0.904,0.831,,Not_Significant,#N/A,0.831,2,1,3,0,0,0,21.429,20.403,21.568,20.645,20.374,19.890,,26.1,1.0
198,O14929,Histone acetyltransferase type B catalytic subunit,HAT1,0.691,1.760,,Not_Significant,#N/A,1.760,9,6,6,2,1,4,24.593,24.633,24.466,24.105,20.494,23.812,,26.1,1.0
199,O14949,Cytochrome b-c1 complex subunit 8,UQCRQ,0.799,1.733,,Not_Significant,#N/A,1.733,1,2,2,1,2,2,19.774,23.000,22.476,20.149,19.996,19.905,,26.1,1.0
200,P19105;O14950,Myosin regulatory light chain 12A;Myosin regulatory light chain 12B,MYL12A;MYL12B,1.309,0.404,,Not_Significant,#N/A,0.404,13,12,17,10,9,5,26.084,26.231,25.901,25.702,25.837,25.466,,26.1,1.0
201,O14964,Hepatocyte growth factor-regulated tyrosine kinase substrate,HGS,0.131,-0.071,,Not_Significant,#N/A,-0.071,4,4,7,4,3,3,22.516,22.745,22.281,22.622,22.821,22.313,,26.1,1.0
203,O14974,Protein phosphatase 1 regulatory subunit 12A,PPP1R12A,1.007,-0.713,,Not_Significant,#N/A,-0.713,7,3,3,6,4,6,21.974,22.304,21.265,22.497,22.806,22.377,,26.0,1.0
204,O14976,Cyclin-G-associated kinase,GAK,0.795,0.257,,Not_Significant,#N/A,0.257,2,5,4,3,1,4,23.281,23.130,23.405,22.791,23.023,23.229,,26.0,1.0
205,O14979,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL,0.999,-0.307,,Not_Significant,#N/A,-0.307,11,7,6,5,5,6,25.195,25.024,24.738,25.185,25.326,25.369,,26.0,1.0
206,O14980,Exportin-1,XPO1,1.527,0.431,,Not_Significant,#N/A,0.431,40,25,20,20,11,14,25.051,24.680,24.830,24.465,24.279,24.522,,26.0,1.0
209,O15020,"Spectrin beta chain, non-erythrocytic 2",SPTBN2,0.409,0.248,,Not_Significant,#N/A,0.248,49,46,50,23,30,25,24.533,24.069,24.825,24.026,24.480,24.177,,26.0,1.0
210,O15027,Protein transport protein Sec16A,SEC16A,1.952,-0.579,,Not_Significant,#N/A,-0.579,13,7,9,9,6,8,23.307,22.970,23.241,23.907,23.652,23.696,,26.0,1.0
212,O15042,U2 snRNP-associated SURP motif-containing protein,U2SURP,0.639,-0.206,,Not_Significant,#N/A,-0.206,14,5,7,11,8,8,23.843,23.483,23.791,24.095,23.842,23.799,,26.0,1.0
213,O15047,Histone-lysine N-methyltransferase SETD1A,SETD1A,0.767,0.335,,Not_Significant,#N/A,0.335,0,0,0,0,0,0,20.621,20.290,20.521,19.806,20.396,20.226,,26.0,1.0
215,O15066,"Kinesin-like protein KIF3B;Kinesin-like protein KIF3B, N-terminally processed",KIF3B,0.795,-0.847,,Not_Significant,#N/A,-0.847,1,2,0,1,0,2,20.439,21.823,20.751,22.234,21.361,21.959,,26.0,1.0
217,O15078,Centrosomal protein of 290 kDa,CEP290,0.788,3.932,,Not_Significant,#N/A,3.932,1,1,1,0,0,0,26.868,19.929,26.717,20.416,21.084,20.219,,26.0,1.0
219,O15091,Mitochondrial ribonuclease P protein 3,KIAA0391,0.077,-0.361,,Not_Significant,#N/A,-0.361,1,0,0,1,2,0,23.737,20.170,22.952,20.192,24.114,23.637,,25.9,1.0
222,O15143,Actin-related protein 2/3 complex subunit 1B,ARPC1B,1.902,0.266,,Not_Significant,#N/A,0.266,10,8,7,6,5,3,24.170,24.328,24.144,23.970,23.904,23.972,,25.9,1.0
223,O15144,Actin-related protein 2/3 complex subunit 2,ARPC2,3.153,0.746,,Not_Significant,#N/A,0.746,15,10,9,6,7,7,24.261,24.336,24.424,23.696,23.609,23.479,,25.9,1.0
224,O15145,Actin-related protein 2/3 complex subunit 3,ARPC3,1.158,0.173,,Not_Significant,#N/A,0.173,8,4,8,6,6,5,24.182,24.297,24.115,23.933,24.074,24.067,,25.9,1.0
226,O15160,DNA-directed RNA polymerases I and III subunit RPAC1,POLR1C,0.518,0.790,,Not_Significant,#N/A,0.790,6,1,0,1,0,0,22.369,22.479,22.698,22.320,22.452,20.403,,25.9,1.0
227,O15164,Transcription intermediary factor 1-alpha,TRIM24,0.220,-0.479,,Not_Significant,#N/A,-0.479,2,0,3,0,0,0,20.737,18.393,20.407,19.550,21.044,20.381,,25.9,1.0
229,O15212,Prefoldin subunit 6,PFDN6,0.248,0.957,,Not_Significant,#N/A,0.957,2,1,1,0,0,0,23.480,23.926,20.123,20.761,23.433,20.463,,25.9,1.0
233,O15231,Zinc finger protein 185,ZNF185,0.628,1.455,,Not_Significant,#N/A,1.455,3,0,2,0,0,0,22.809,22.172,23.301,19.335,22.124,22.459,,25.9,1.0
236,O15264,Mitogen-activated protein kinase 13,MAPK13,0.724,1.217,,Not_Significant,#N/A,1.217,4,2,4,1,0,3,22.213,22.236,22.309,21.966,19.510,21.632,,25.9,1.0
237,O15269,Serine palmitoyltransferase 1,SPTLC1,0.886,0.331,,Not_Significant,#N/A,0.331,3,0,5,1,1,0,22.516,22.098,22.637,22.060,21.998,22.200,,25.9,1.0
239,O15294,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,OGT,2.051,0.715,,Not_Significant,#N/A,0.715,7,11,13,4,4,4,25.067,25.137,25.431,24.361,24.435,24.693,,25.8,1.0
241,O15305,Phosphomannomutase 2,PMM2,0.525,0.230,,Not_Significant,#N/A,0.230,11,3,5,4,3,4,22.978,23.174,22.837,22.663,22.544,23.091,,25.8,1.0
243,O15347,High mobility group protein B3,HMGB3,0.329,0.403,,Not_Significant,#N/A,0.403,5,5,5,1,4,2,23.187,22.553,22.856,22.097,23.393,21.898,,25.8,1.0
245,O15355,Protein phosphatase 1G,PPM1G,1.317,0.508,,Not_Significant,#N/A,0.508,9,2,10,3,1,2,23.423,23.155,23.250,23.077,22.699,22.526,,25.8,1.0
246,O15357,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",INPPL1,0.967,1.015,,Not_Significant,#N/A,1.015,5,3,2,2,0,0,21.357,21.838,22.149,21.635,20.308,20.357,,25.8,1.0
247,O15371,Eukaryotic translation initiation factor 3 subunit D,EIF3D,0.679,0.063,,Not_Significant,#N/A,0.063,16,11,10,9,7,9,23.994,23.922,24.005,23.934,23.846,23.953,,25.8,1.0
248,O15372,Eukaryotic translation initiation factor 3 subunit H,EIF3H,1.067,0.464,,Not_Significant,#N/A,0.464,9,9,12,3,3,6,23.984,24.038,24.607,23.656,23.770,23.810,,25.8,1.0
251,O15397,Importin-8,IPO8,0.677,0.885,,Not_Significant,#N/A,0.885,3,2,2,0,1,0,21.330,21.322,21.069,21.021,19.184,20.861,,25.8,1.0
257,O15498,Synaptobrevin homolog YKT6,YKT6,0.443,0.657,,Not_Significant,#N/A,0.657,4,3,4,1,1,1,20.437,21.975,21.955,20.107,20.866,21.424,,25.8,1.0
258,O15511,Actin-related protein 2/3 complex subunit 5,ARPC5,1.442,0.917,,Not_Significant,#N/A,0.917,3,3,3,3,2,2,23.170,23.761,24.074,22.492,22.861,22.904,,25.8,1.0
259,Q6A1A2;O15530,Putative 3-phosphoinositide-dependent protein kinase 2;3-phosphoinositide-dependent protein kinase 1,PDPK2P;PDPK1,0.504,-0.554,,Not_Significant,#N/A,-0.554,2,0,2,0,0,0,20.436,19.616,20.260,20.364,20.140,21.472,,25.7,1.0
261,O15550,Lysine-specific demethylase 6A,KDM6A,0.191,0.234,,Not_Significant,#N/A,0.234,4,1,4,0,0,0,20.112,21.666,20.890,20.561,20.930,20.474,,25.7,1.0
262,O43143,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,DHX15,1.979,-0.309,,Not_Significant,#N/A,-0.309,19,14,21,16,11,15,24.540,24.418,24.481,24.716,24.746,24.904,,25.7,1.0
263,O43148,mRNA cap guanine-N7 methyltransferase,RNMT,0.082,-0.183,,Not_Significant,#N/A,-0.183,4,0,1,0,0,1,23.851,21.208,22.562,22.778,23.055,22.337,,25.7,1.0
266,O43156,TELO2-interacting protein 1 homolog,TTI1,0.938,0.604,,Not_Significant,#N/A,0.604,2,1,1,1,1,1,20.758,20.973,21.627,20.773,20.519,20.255,,25.7,1.0
268,O43172,U4/U6 small nuclear ribonucleoprotein Prp4,PRPF4,0.550,0.336,,Not_Significant,#N/A,0.336,10,1,6,1,0,0,22.645,22.328,23.099,22.601,22.078,22.384,,25.7,1.0
269,O43175,D-3-phosphoglycerate dehydrogenase,PHGDH,1.472,0.265,,Not_Significant,#N/A,0.265,24,16,21,12,12,15,26.982,26.927,26.925,26.832,26.555,26.654,,25.7,1.0
270,O43237,Cytoplasmic dynein 1 light intermediate chain 2,DYNC1LI2,0.646,0.331,,Not_Significant,#N/A,0.331,8,3,5,2,0,1,24.623,23.956,24.276,24.075,23.698,24.089,,25.7,1.0
271,O43242,26S proteasome non-ATPase regulatory subunit 3,PSMD3,1.950,0.366,,Not_Significant,#N/A,0.366,25,24,24,10,12,8,24.503,24.523,24.597,24.329,24.085,24.112,,25.7,1.0
272,O43252,Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1;Sulfate adenylyltransferase;Adenylyl-sulfate kinase,PAPSS1,0.613,0.547,,Not_Significant,#N/A,0.547,9,4,8,3,1,2,23.120,22.522,22.718,22.623,22.577,21.520,,25.7,1.0
273,O43264,Centromere/kinetochore protein zw10 homolog,ZW10,1.217,0.342,,Not_Significant,#N/A,0.342,6,6,8,5,3,2,22.856,23.100,23.017,22.483,22.860,22.605,,25.6,1.0
274,O43290,U4/U6.U5 tri-snRNP-associated protein 1,SART1,0.336,-0.165,,Not_Significant,#N/A,-0.165,6,2,7,7,6,5,24.420,23.783,24.319,24.404,24.357,24.255,,25.6,1.0
277,O43324,Eukaryotic translation elongation factor 1 epsilon-1,EEF1E1,0.064,-0.023,,Not_Significant,#N/A,-0.023,5,5,5,3,4,5,23.987,23.674,24.029,23.931,23.827,24.000,,25.6,1.0
279,O43379,WD repeat-containing protein 62,WDR62,0.045,0.060,,Not_Significant,#N/A,0.060,2,0,2,0,1,0,21.191,20.643,20.839,21.395,21.103,19.994,,25.6,1.0
280,O43390,Heterogeneous nuclear ribonucleoprotein R,HNRNPR,1.057,-0.720,,Not_Significant,#N/A,-0.720,26,9,11,19,18,16,25.743,24.876,24.733,25.837,25.744,25.929,,25.6,1.0
281,O43395,U4/U6 small nuclear ribonucleoprotein Prp3,PRPF3,0.172,0.307,,Not_Significant,#N/A,0.307,4,2,3,0,1,2,21.860,20.213,21.308,20.088,20.672,21.698,,25.6,1.0
282,O43396,Thioredoxin-like protein 1,TXNL1,2.412,0.583,,Not_Significant,#N/A,0.583,13,11,9,3,2,5,23.944,24.273,24.119,23.511,23.508,23.568,,25.6,1.0
286,O43447,Peptidyl-prolyl cis-trans isomerase H,PPIH,0.790,0.346,,Not_Significant,#N/A,0.346,7,3,6,1,0,0,23.354,23.300,23.799,22.910,23.160,23.345,,25.6,1.0
288,O43488,Aflatoxin B1 aldehyde reductase member 2,AKR7A2,0.661,0.285,,Not_Significant,#N/A,0.285,9,6,9,8,7,7,24.191,23.699,23.815,23.864,23.541,23.445,,25.6,1.0
293,O43583,Density-regulated protein,DENR,0.374,1.328,,Not_Significant,#N/A,1.328,3,3,5,1,3,1,23.763,23.944,24.219,24.054,24.206,19.683,,25.6,1.0
295,O43598,2-deoxynucleoside 5-phosphate N-hydrolase 1,DNPH1,0.726,1.514,,Not_Significant,#N/A,1.514,3,2,2,1,2,2,22.683,20.304,23.290,20.401,21.138,20.197,,25.5,1.0
296,O43615,Mitochondrial import inner membrane translocase subunit TIM44,TIMM44,1.222,0.433,,Not_Significant,#N/A,0.433,2,3,3,3,3,2,22.940,22.902,22.517,22.532,22.198,22.331,,25.5,1.0
298,O43633,Charged multivesicular body protein 2a,CHMP2A,0.357,0.205,,Not_Significant,#N/A,0.205,4,3,3,2,3,2,22.725,22.993,22.919,22.772,23.006,22.245,,25.5,1.0
299,O43660,Pleiotropic regulator 1,PLRG1,0.205,0.179,,Not_Significant,#N/A,0.179,10,9,8,3,5,5,22.404,22.255,23.254,22.568,22.200,22.610,,25.5,1.0
300,O43663,Protein regulator of cytokinesis 1,PRC1,0.780,0.483,,Not_Significant,#N/A,0.483,6,3,6,2,0,2,22.947,22.315,23.115,22.527,22.025,22.376,,25.5,1.0
302,O43670,BUB3-interacting and GLEBS motif-containing protein ZNF207,ZNF207,0.454,1.096,,Not_Significant,#N/A,1.096,5,3,6,2,3,1,23.177,22.654,22.681,22.927,22.597,19.699,,25.5,1.0
304,O43681,ATPase ASNA1,ASNA1,0.625,1.108,,Not_Significant,#N/A,1.108,4,2,2,2,1,1,22.570,23.033,22.868,22.674,22.316,20.157,,25.5,1.0
305,O43684,Mitotic checkpoint protein BUB3,BUB3,1.125,0.273,,Not_Significant,#N/A,0.273,13,12,13,10,5,10,23.824,23.582,23.626,23.423,23.246,23.544,,25.5,1.0
307,O43707,Alpha-actinin-4,ACTN4,1.664,0.396,,Not_Significant,#N/A,0.396,59,61,74,32,32,38,25.943,26.135,26.143,25.679,25.526,25.826,,25.5,1.0
309,O43719,HIV Tat-specific factor 1,HTATSF1,1.600,0.803,,Not_Significant,#N/A,0.803,2,1,3,1,0,0,21.392,21.294,21.365,20.694,20.100,20.848,,25.5,1.0
310,O43747,AP-1 complex subunit gamma-1,AP1G1,0.407,0.222,,Not_Significant,#N/A,0.222,5,8,7,1,3,5,24.012,24.099,23.809,23.583,23.494,24.177,,25.4,1.0
312,O43776,"Asparagine--tRNA ligase, cytoplasmic",NARS,0.443,0.180,,Not_Significant,#N/A,0.180,22,24,28,19,10,20,25.473,25.241,25.358,25.467,25.156,24.908,,25.4,1.0
314,O43795,Unconventional myosin-Ib,MYO1B,0.055,0.125,,Not_Significant,#N/A,0.125,0,0,0,0,0,0,20.749,19.866,18.720,18.956,20.698,19.306,,25.4,1.0
316,O43809,Cleavage and polyadenylation specificity factor subunit 5,NUDT21,1.406,-1.060,,Not_Significant,#N/A,-1.060,12,9,9,11,6,12,24.961,24.028,24.828,25.565,25.388,26.045,,25.4,1.0
318,O43815,Striatin,STRN,0.804,0.387,,Not_Significant,#N/A,0.387,6,3,7,3,1,1,22.831,22.648,22.807,22.577,21.945,22.603,,25.4,1.0
321,O43837,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",IDH3B,0.202,-0.480,,Not_Significant,#N/A,-0.480,1,2,3,3,1,1,21.944,20.142,21.391,22.562,20.163,22.190,,25.4,1.0
323,O43865,Putative adenosylhomocysteinase 2,AHCYL1,0.318,0.197,,Not_Significant,#N/A,0.197,9,6,7,5,3,1,23.260,23.341,23.903,23.526,23.377,23.010,,25.4,1.0
325,O43933,Peroxisome biogenesis factor 1,PEX1,0.333,-0.614,,Not_Significant,#N/A,-0.614,0,0,0,0,2,2,20.309,19.667,21.281,19.848,21.496,21.754,,25.4,1.0
326,O60216,Double-strand-break repair protein rad21 homolog,RAD21,1.199,1.210,,Not_Significant,#N/A,1.210,3,0,3,0,1,1,22.649,21.954,21.929,20.172,21.182,21.548,,25.4,1.0
327,O60231,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16,DHX16,0.557,0.529,,Not_Significant,#N/A,0.529,6,2,5,1,1,0,22.305,22.026,22.582,22.197,22.130,20.999,,25.4,1.0
328,O60232,Sjoegren syndrome/scleroderma autoantigen 1,SSSCA1,0.566,0.306,,Not_Significant,#N/A,0.306,4,2,4,3,1,2,23.519,23.968,24.342,23.681,23.653,23.578,,25.3,1.0
330,O60256,Phosphoribosyl pyrophosphate synthase-associated protein 2,PRPSAP2,1.124,0.276,,Not_Significant,#N/A,0.276,4,2,1,3,1,0,22.374,22.626,22.416,22.056,22.182,22.350,,25.3,1.0
331,O60264,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,SMARCA5,2.180,0.450,,Not_Significant,#N/A,0.450,23,19,23,8,10,10,23.577,23.428,23.576,23.137,23.160,22.935,,25.3,1.0
332,O60271,C-Jun-amino-terminal kinase-interacting protein 4,SPAG9,0.190,0.535,,Not_Significant,#N/A,0.535,3,1,1,0,1,0,19.852,16.337,17.951,16.894,18.118,17.523,,25.3,1.0
337,O60306,Intron-binding protein aquarius,AQR,2.607,0.664,,Not_Significant,#N/A,0.664,10,7,6,4,4,3,22.746,22.527,22.818,22.065,22.088,21.945,,25.3,1.0
338,O60313,"Dynamin-like 120 kDa protein, mitochondrial;Dynamin-like 120 kDa protein, form S1",OPA1,0.809,-0.317,,Not_Significant,#N/A,-0.317,22,26,22,20,21,17,24.826,24.305,24.752,24.816,25.093,24.926,,25.3,1.0
340,O60437,Periplakin,PPL,1.151,0.397,,Not_Significant,#N/A,0.397,19,17,30,9,8,9,23.753,23.998,24.011,23.307,23.481,23.783,,25.3,1.0
342,O60493,Sorting nexin-3,SNX3,1.419,1.638,,Not_Significant,#N/A,1.638,3,1,2,1,1,0,22.201,22.712,21.773,20.349,21.487,19.935,,25.3,1.0
343,O60502,Protein O-GlcNAcase,MGEA5,1.226,0.532,,Not_Significant,#N/A,0.532,5,2,2,1,0,1,22.031,22.402,22.172,22.000,21.416,21.594,,25.3,1.0
344,O60506,Heterogeneous nuclear ribonucleoprotein Q,SYNCRIP,1.371,-0.712,,Not_Significant,#N/A,-0.712,22,15,11,16,15,7,25.682,25.009,24.920,25.853,25.942,25.952,,25.3,1.0
345,O60508,Pre-mRNA-processing factor 17,CDC40,0.834,1.329,,Not_Significant,#N/A,1.329,4,1,1,1,1,0,21.883,21.052,21.997,19.963,21.622,19.358,,25.2,1.0
346,O60524,Nuclear export mediator factor NEMF,NEMF,0.119,0.264,,Not_Significant,#N/A,0.264,0,2,2,0,0,0,19.837,21.240,22.233,21.354,21.125,20.039,,25.2,1.0
347,O60547,"GDP-mannose 4,6 dehydratase",GMDS,1.672,1.221,,Not_Significant,#N/A,1.221,1,1,2,0,0,1,21.335,21.265,21.126,19.701,19.689,20.674,,25.2,1.0
348,O60563,Cyclin-T1,CCNT1,0.008,0.008,,Not_Significant,#N/A,0.008,3,2,6,1,1,1,22.971,21.924,22.917,22.781,22.465,22.542,,25.2,1.0
352,O60610,Protein diaphanous homolog 1,DIAPH1,2.301,0.430,,Not_Significant,#N/A,0.430,17,17,15,5,4,3,23.737,23.732,23.705,23.220,23.447,23.218,,25.2,1.0
353,O60645,Exocyst complex component 3,EXOC3,1.040,1.108,,Not_Significant,#N/A,1.108,4,1,2,1,0,0,22.358,22.102,22.728,21.773,21.734,20.356,,25.2,1.0
355,O60664,Perilipin-3,PLIN3,1.055,0.900,,Not_Significant,#N/A,0.900,6,6,4,0,0,1,22.329,23.019,21.917,21.053,21.845,21.667,,25.2,1.0
356,O60678,Protein arginine N-methyltransferase 3,PRMT3,0.152,-0.629,,Not_Significant,#N/A,-0.629,3,0,3,0,0,0,23.414,20.235,23.489,24.155,24.091,20.778,,25.2,1.0
358,O60701,UDP-glucose 6-dehydrogenase,UGDH,0.568,0.534,,Not_Significant,#N/A,0.534,5,5,8,3,3,7,21.813,21.737,21.878,21.930,20.502,21.392,,25.2,1.0
359,O60716,Catenin delta-1,CTNND1,0.364,0.082,,Not_Significant,#N/A,0.082,17,15,19,10,10,13,24.549,24.830,24.787,24.575,24.666,24.680,,25.2,1.0
360,O60749,Sorting nexin-2,SNX2,1.859,0.654,,Not_Significant,#N/A,0.654,5,7,9,3,4,5,22.693,23.203,22.846,22.206,22.337,22.236,,25.1,1.0
361,O60762,Dolichol-phosphate mannosyltransferase subunit 1,DPM1,1.246,0.311,,Not_Significant,#N/A,0.311,6,6,5,4,6,1,23.259,23.657,23.522,23.183,23.165,23.157,,25.1,1.0
362,O60763,General vesicular transport factor p115,USO1,0.335,0.152,,Not_Significant,#N/A,0.152,14,10,11,6,14,5,23.832,23.525,23.901,23.527,23.885,23.391,,25.1,1.0
363,O60783,"28S ribosomal protein S14, mitochondrial",MRPS14,0.090,0.343,,Not_Significant,#N/A,0.343,1,0,1,1,1,1,24.137,20.798,23.956,23.056,23.750,21.056,,25.1,1.0
366,O60826,Coiled-coil domain-containing protein 22,CCDC22,0.124,-0.197,,Not_Significant,#N/A,-0.197,2,2,1,1,1,1,20.282,22.004,22.043,21.635,21.599,21.684,,25.1,1.0
367,O60828,Polyglutamine-binding protein 1,PQBP1,1.273,1.382,,Not_Significant,#N/A,1.382,2,0,0,0,0,0,22.252,21.708,20.729,20.101,19.802,20.642,,25.1,1.0
368,O60832,H/ACA ribonucleoprotein complex subunit 4,DKC1,0.192,0.391,,Not_Significant,#N/A,0.391,4,2,2,0,3,0,23.332,21.998,21.937,21.054,23.223,21.818,,25.1,1.0
369,O60841,Eukaryotic translation initiation factor 5B,EIF5B,0.388,0.239,,Not_Significant,#N/A,0.239,11,5,9,5,2,6,23.507,23.854,23.691,23.526,22.996,23.813,,25.1,1.0
370,O60869,Endothelial differentiation-related factor 1,EDF1,0.016,-0.009,,Not_Significant,#N/A,-0.009,2,4,2,2,0,3,23.432,23.496,22.937,23.397,23.325,23.169,,25.1,1.0
372,O60884,DnaJ homolog subfamily A member 2,DNAJA2,1.451,0.625,,Not_Significant,#N/A,0.625,3,3,3,2,1,0,22.972,22.896,23.281,22.748,22.266,22.260,,25.1,1.0
373,O60885,Bromodomain-containing protein 4,BRD4,0.872,3.682,,Not_Significant,#N/A,3.682,6,1,4,1,2,0,26.089,25.516,25.759,19.673,25.979,20.667,,25.0,1.0
375,O60925,Prefoldin subunit 1,PFDN1,0.694,0.223,,Not_Significant,#N/A,0.223,6,3,5,2,2,3,22.782,23.183,22.817,22.764,22.785,22.565,,25.0,1.0
