SRX,Antigen,Treatment1,Treament2,Time,Antibody,Ref,Comments,Heatmap
SRX3583203,ER,Estradiol,None,16 hours,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/30944316,,TRUE
SRX14255714,ER,Vehicle,None,?,?,https://www.ncbi.nlm.nih.gov/pubmed/35654829,,FALSE
SRX371476,ER,Tamoxfen Resitance,None,NA,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/22217937,,FALSE
SRX14875683,ER,siCtrl,None,NA,?,,,FALSE
SRX5323876,ER,IL6,None,?,cocktail,https://www.ncbi.nlm.nih.gov/pubmed/32679107,,FALSE
SRX20282946,ER,No estrogen,None,?,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/37834026,control for some resveratrol,TRUE
SRX8616962,ER,siTET2,None,?,ab3575,,,FALSE
SRX3110718,ER,Fulvestrant,Spike-in HC11,48 hours,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/29672735,,TRUE
SRX3080212,ER,No estrogen,None,7 days,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/29467493,MCF-7/c-Jun -Tet cells,TRUE
SRX2943597,ER,shRenilla,None,?,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/29755131,,FALSE
SRX2912059,ER,15 min E2 and 60 min E2+Dexamethasone,None,75  minutes,sc-543,,No publication details,FALSE
SRX19024876,ER,Dexamethasone,None,2 hours,"06-935, Merck",https://www.ncbi.nlm.nih.gov/pubmed/37902007,"Bad rep? Does not match other two, very few peaks",FALSE
SRX3110720,ER,Full media,Spike-in Mouse Chromatin,45 minutes,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/29672735,Mouse Spike-in / Result in paper is not to use,FALSE
SRX5323874,ER,IL6,,,,https://www.ncbi.nlm.nih.gov/pubmed/32679107,,FALSE
SRX20282966,ER,TCDD,,,,,,FALSE
SRX5465792,ER,Over expression?,,,,,,FALSE
SRX5287706,ER,Fulvestrant,,,,https://pubmed.ncbi.nlm.nih.gov/31303470/,,TRUE
SRX3428653,ER,Intergrated vectors?,,,,,,FALSE
SRX3123823,ER,RAD001,,,,,,FALSE
SRX3110723,ER,Full media,Spike-in Mouse Chromatin,,,,Mouse Spike-in / Result in paper is not to use,FALSE
SRX2922226,ER,Long-term estrogen deprived,,,sc-543,,,TRUE
SRX1469951,ER,sgRNA,,,,,,FALSE
SRX1012694,PGR,No progesterone or estrogen,,,,https://www.ncbi.nlm.nih.gov/pubmed/26153859,JC-2350,TRUE
SRX1012683,ER,Estradiol,,,sc-543,,Something odd about this 1/2 the number of peaks of other reps (3000 vs 6000),TRUE
SRX1012682,ER,No estrogen,,,sc-543,,,TRUE
SRX1012681,ER,Estradiol + Progesterone,,,sc-543,,,TRUE
