Protein ID,Gene,GR_1 Intensity,GR_2 Intensity,GR_3 Intensity,IgG_1 Intensity,IgG_2 Intensity,IgG_3 Intensity,GR_vs_IgG_log2 fold change,GR_vs_IgG_p.val,GR_vs_IgG_p.adj,significant
P09651,HNRNPA1,1.99E+06,6.17E+06,4.47E+06,NA,2.40E+05,NA,6.53,1.32E-03,2.65E-03,TRUE
Q92841,DDX17,1.42E+05,4.57E+05,1.14E+05,NA,NA,NA,3.52,1.36E-03,2.70E-03,TRUE
P60709,ACTB,4.75E+07,7.54E+07,4.73E+07,4.29E+06,9.52E+06,1.66E+06,3.76,1.95E-03,3.82E-03,TRUE
P11142,HSPA8,4.76E+06,1.48E+07,8.47E+06,NA,4.98E+05,NA,7.33,2.01E-03,3.91E-03,TRUE
P07437,TUBB,9.34E+06,1.23E+07,1.02E+07,5.68E+05,1.73E+05,NA,6.48,2.09E-03,4.02E-03,TRUE
P51991,HNRNPA3,4.81E+05,5.25E+05,2.30E+05,7.27E+04,NA,NA,3.81,2.12E-03,4.02E-03,TRUE
P27348,YWHAQ,5.57E+04,1.03E+05,1.14E+05,NA,NA,NA,2.36,2.14E-03,4.02E-03,TRUE
P04406,GAPDH,7.38E+06,6.66E+06,5.43E+06,NA,5.30E+05,NA,6.91,2.48E-03,4.61E-03,TRUE
P16401,H1-5,3.56E+06,5.91E+06,6.41E+06,8.38E+05,3.21E+05,1.00E+05,4.1,2.66E-03,4.88E-03,TRUE
P20591,MX1,1.02E+05,1.29E+06,7.00E+05,NA,NA,NA,4.73,2.67E-03,4.88E-03,TRUE
P67809,YBX1,7.56E+04,4.25E+05,1.63E+05,NA,NA,NA,3.35,2.83E-03,5.10E-03,TRUE
P26038,MSN,1.42E+05,1.57E+06,2.43E+05,NA,NA,NA,4.48,2.86E-03,5.10E-03,TRUE
P33993,MCM7,1.86E+05,3.17E+05,6.24E+04,NA,NA,NA,3.18,3.18E-03,5.62E-03,TRUE
P02769,ALB,1.47E+06,1.30E+06,1.61E+06,2.39E+05,NA,NA,5.15,3.26E-03,5.70E-03,TRUE
P02545,LMNA,3.11E+06,4.19E+06,1.42E+06,NA,3.26E+05,NA,5.86,3.48E-03,6.04E-03,TRUE
P68104,EEF1A1,1.13E+07,1.63E+07,1.02E+07,1.14E+06,NA,1.08E+05,6.59,4.19E-03,7.19E-03,TRUE
P62917,RPL8,2.42E+06,4.16E+06,2.45E+06,NA,4.86E+05,NA,5.81,5.38E-03,9.14E-03,TRUE
P00558,PGK1,1.76E+06,1.73E+06,6.41E+05,NA,2.59E+05,NA,4.89,6.15E-03,1.03E-02,TRUE
P62241,RPS8,1.73E+06,2.33E+06,1.13E+06,NA,3.48E+05,6.25E+04,4.53,6.50E-03,1.08E-02,TRUE
P62701,RPS4X,1.41E+06,2.58E+06,1.81E+06,NA,4.13E+05,NA,5.25,6.99E-03,1.15E-02,TRUE
P13645,KRT10,2.16E+07,5.09E+07,3.43E+07,1.18E+07,6.53E+06,5.09E+06,2.2,7.53E-03,1.23E-02,TRUE
P69905,HBA2,9.57E+06,7.50E+06,8.65E+06,2.01E+06,2.36E+06,5.17E+05,2.66,7.85E-03,1.27E-02,TRUE
P06733,ENO1,3.68E+06,7.47E+06,4.97E+05,NA,3.03E+05,NA,5.75,8.82E-03,1.42E-02,TRUE
P38919,EIF4A3,2.88E+05,7.87E+04,4.89E+04,NA,NA,NA,2.61,1.13E-02,1.79E-02,TRUE
P18621,RPL17,1.15E+06,1.08E+06,2.09E+05,NA,1.77E+05,NA,4.1,1.31E-02,2.07E-02,TRUE
P19338,NCL,4.49E+06,6.70E+06,4.40E+06,7.23E+05,4.25E+05,NA,4.88,1.40E-02,2.18E-02,TRUE
P04264,KRT1,4.69E+07,4.99E+07,6.06E+07,2.92E+07,1.13E+07,7.85E+06,1.93,1.82E-02,2.81E-02,TRUE
O60814,H2BC12,1.72E+07,3.13E+07,3.20E+07,2.42E+06,1.80E+06,NA,5.94,2.12E-02,3.26E-02,TRUE
P16104,H2AX,1.19E+06,2.09E+06,1.32E+06,4.17E+05,2.03E+05,NA,3.72,2.16E-02,3.28E-02,TRUE
P06748,NPM1,7.10E+06,1.01E+07,7.66E+06,1.03E+06,1.07E+06,NA,4.94,2.41E-02,3.64E-02,TRUE
P10412,H1-4,7.12E+06,1.11E+07,1.14E+07,3.13E+06,NA,2.62E+05,5.33,2.53E-02,3.79E-02,TRUE
P14866,HNRNPL,2.51E+05,1.54E+06,2.09E+05,NA,1.79E+05,NA,3.54,2.87E-02,4.24E-02,TRUE
P13647,KRT5,1.02E+06,7.50E+06,5.49E+05,NA,5.96E+05,NA,4.86,2.88E-02,4.24E-02,TRUE
P50914,RPL14,1.11E+06,9.57E+05,1.05E+06,3.16E+05,3.00E+05,NA,3.15,3.81E-02,5.55E-02,FALSE
P0C0S5,H2AZ1,NA,5.82E+05,5.86E+05,NA,NA,NA,3.4,5.41E-02,7.79E-02,FALSE
P46776,RPL27A,2.12E+06,2.27E+06,1.86E+06,NA,1.20E+06,2.59E+05,3.58,5.43E-02,7.79E-02,FALSE
P63241,EIF5A,NA,6.20E+05,1.51E+06,NA,NA,NA,3.89,5.57E-02,7.92E-02,FALSE
P02042,HBD,3.47E+06,1.61E+06,2.31E+06,5.64E+05,8.24E+05,NA,3.56,5.65E-02,7.92E-02,FALSE
P10809,HSPD1,8.62E+05,4.20E+05,NA,NA,NA,NA,3.43,5.66E-02,7.92E-02,FALSE
P18754,RCC1,3.69E+05,2.70E+05,NA,NA,NA,NA,2.81,5.78E-02,8.03E-02,FALSE
P11586,MTHFD1,NA,3.04E+05,2.27E+05,NA,NA,NA,2.63,5.91E-02,8.10E-02,FALSE
Q9UQ80,PA2G4,NA,4.25E+05,2.43E+05,NA,NA,NA,2.83,5.92E-02,8.10E-02,FALSE
Q92945,KHSRP,NA,2.27E+05,1.83E+05,NA,NA,NA,2.39,6.11E-02,8.29E-02,FALSE
P49736,MCM2,NA,2.62E+05,1.69E+05,NA,NA,NA,2.42,6.22E-02,8.35E-02,FALSE
P68371,TUBB4B,NA,7.44E+05,2.40E+05,NA,NA,NA,3.09,6.32E-02,8.35E-02,FALSE
P40763,STAT3,NA,1.91E+05,1.48E+05,NA,NA,NA,2.2,6.37E-02,8.35E-02,FALSE
P05198,EIF2S1,NA,2.76E+05,1.52E+05,NA,NA,NA,2.39,6.42E-02,8.35E-02,FALSE
P46782,RPS5,NA,1.64E+05,3.57E+05,NA,NA,NA,2.56,6.43E-02,8.35E-02,FALSE
P04908,H2AC4,1.87E+07,3.00E+07,2.29E+07,5.47E+06,4.01E+06,NA,5.03,6.44E-02,8.35E-02,FALSE
P15531,NME1,NA,7.64E+05,1.97E+05,NA,NA,NA,3.01,6.76E-02,8.65E-02,FALSE
P35908,KRT2,6.92E+06,3.61E+07,5.39E+06,6.36E+06,1.86E+06,4.12E+05,2.7,6.77E-02,8.65E-02,FALSE
Q15233,NONO,NA,7.53E+05,1.86E+05,NA,NA,NA,2.97,6.89E-02,8.73E-02,FALSE
Q07955,SRSF1,1.04E+05,2.27E+05,NA,NA,NA,NA,2.12,7.22E-02,9.09E-02,FALSE
O43303,CCP110,2.28E+05,NA,9.73E+04,NA,NA,NA,2.09,7.43E-02,9.23E-02,FALSE
P24534,EEF1B2,NA,2.06E+05,9.46E+04,NA,NA,NA,2.02,7.43E-02,9.23E-02,FALSE
P25205,MCM3,NA,2.03E+05,7.72E+04,NA,NA,NA,1.92,8.25E-02,1.01E-01,FALSE
