Protein.Group	Protein.Ids	Protein.Names	Genes	Peptides	Min*(PG.Q.Value)	PrimaryCD4_plus_T_D001_IgG_IP_1	PrimaryCD4_plus_T_D017_IgG_IP_2	PrimaryCD4_plus_T_D029_IgG_IP_3	PrimaryCD4_plus_T_D035_IgG_IP_4	PrimaryCD4_plus_T_D001_GR_IP_1	PrimaryCD4_plus_T_D017_GR_IP_2	PrimaryCD4_plus_T_D029_GR_IP_3	PrimaryCD4_plus_T_D035_GR_IP_4	MCF7_230323_IgG_IP_1	MCF7_040423_IgG_IP_2	MCF7_270323_IgG_IP_3	MCF7_230323_GR_IP_1	MCF7_040423_GR_IP_2	MCF7_270323_GR_IP_3	231_230323_IgG_IP_1	231_040423_IgG_IP_2	231_270323_IgG_IP_3	231_040423_GR_IP_2	231_230323_GR_IP_1	231_270323_GR_IP_3	Jurkat_230323_IgG_IP_1	Jurkat_040423_IgG_IP_2	Jurkat_120423_IgG_IP_3	Jurkat_230323_GR_IP_1	Jurkat_040423_GR_IP_2	Jurkat_120423_GR_IP_3	KMBC2_230323_IgG_IP_1	KMBC2_120423_IgG_IP_2	KMBC2_270323_IgG_IP_3	KMBC2_120423_GR_IP_2	KMBC2_230323_GR_IP_1	KMBC2_270323_GR_IP_3	PrimaryBreastEpis_3137_IgG_IP_1	PrimaryBreastEpis_2528_IgG_IP_2	PrimaryBreastEpis_3353_IgG_IP_3	PrimaryBreastEpis _3137_GR_IP_1	PrimaryBreastEpis_2528_GR_IP_2	PrimaryBreastEpis_3353_GR_IP_3	PrimaryNHU_Y3018_IgG_IP_1	PrimaryNHU_Y2680_IgG_IP_2	PrimaryNHU_Y2332_IgG_IP_3	PrimaryNHU_Y3018_GR_IP_1	PrimaryNHU_Y2680_GR_IP_2	PrimaryNHU_Y2332_GR_IP_3	BB7_IgG_IP	BB7_GR_IP	BB3RC31_IgG_IP	BB3RC31_GR_IP	HBC34_IgG_IP	HBC34_GR_IP	MCF10A_GR_1	MCF10A_GR_2	MCF10A_GR_3	MCF10A_IgG_1	MCF10A_IgG_2	MCF10A_IgG_3
Q12765	Q12765	SCRN1_HUMAN	SCRN1	4	0.000200401	239.8595123	438.5571289	338.4084473	297.6243591	132.5910492	266.2980652	299.2000427	204.8419952	290.2232666	200.033783	3262.144287	3054.648682	4515.786621	4121.394531	232.1157532	221.932663	3075.996094	6014.234375	6205.105469	5252.774414	287.7946777	428.5979614	327.1101685	3429.14209	236.7562408	1446.003784	73.56000519	470.7331543	347.9763794	3478.450439	3042.991455	3732.248779	1708.968262	2399.526855	2501.641602	4554.188477	6720.415527	4613.358887	168.1695709	350.9399109	2546.821289	262.2817993	2793.512695	2798.062744	3899.289795	4574.05957	16083.30371	16262.11523	11920.32422	14083.58398	380.9328003	601.3488159	353.5231018	229.3587646	220.8664246	3691.707031
Q12766	Q12766	HMGX3_HUMAN	HMGXB3	3	0.00026455	239.8595123	438.5571289	338.4084473	297.6243591	132.5910492	266.2980652	299.2000427	204.8419952	1474.266235	200.033783	356.8092957	254.6159058	277.1142273	304.2036743	232.1157532	221.932663	414.9482422	4353.922363	2502.497559	3331.469238	287.7946777	428.5979614	327.1101685	388.1054688	236.7562408	348.4769897	73.56000519	470.7331543	347.9763794	434.5157166	1110.877197	339.4611206	295.8492126	389.4047852	400.1837463	1384.197754	486.6138611	707.8825073	168.1695709	350.9399109	384.8471985	262.2817993	380.0012207	479.5760193	230.8133087	562.2915649	240.8029175	377.5259094	229.5314178	229.5675659	5630.845215	5683.769531	4052.939697	229.3587646	220.8664246	325.0339966
Q12768	Q12768	WASC5_HUMAN	WASHC5	28	0.000198255	239.8595123	438.5571289	338.4084473	1407.960693	1124.253052	906.6291504	299.2000427	3278.807861	5870.973633	4319.362793	6576.319824	13141.58105	9695.604492	9059.509766	3373.426025	2615.774658	2068.562744	4046.14624	8577.235352	3804.238525	478.8170776	428.5979614	327.1101685	4960.218262	3159.433594	4307.313965	3072.163574	1646.197876	1382.152832	7777.732422	13496.69531	10552.29004	6785.641602	7631.285645	7297.092285	12806.27148	17084.50391	11340.1084	2870.156738	2835.775879	7205.111328	9240.261719	9069.692383	10742.28809	26077.78711	125533.375	48169.14844	128464.7656	44734.65625	132373.8906	9240.855469	8487.822266	9264.541016	2698.18335	3855.880127	7612.291016
Q12769	Q12769	NU160_HUMAN	NUP160	21	0.000198255	239.8595123	438.5571289	338.4084473	297.6243591	132.5910492	4267.573242	4148.33252	4309.988281	5180.0625	6274.377441	9076.728516	11538.16113	12260.04883	9772.688477	6237.59668	3557.44458	3201.536377	14333.31348	16592.74609	7632.32666	4105.730469	428.5979614	327.1101685	4696.817383	5736.311035	4525.702637	5208.599609	4217.23877	4293.957031	11021.62402	14426.38574	16882.94141	7484.14209	4923.05957	6570.128906	11547.44043	12304.65039	7344.202148	168.1695709	350.9399109	5545.444824	5924.663086	6543.615723	5697.557617	29604.13281	37062.08984	45568.31641	48403.76563	29241.37695	40067.69531	6271.251953	8892.376953	8728.920898	229.3587646	4251.949219	7001.155762
Q12770	Q12770	SCAP_HUMAN	SCAP	6	0.000198255	239.8595123	438.5571289	338.4084473	297.6243591	132.5910492	266.2980652	299.2000427	204.8419952	290.2232666	200.033783	356.8092957	254.6159058	277.1142273	304.2036743	232.1157532	221.932663	414.9482422	421.1134338	290.9544678	369.9564819	287.7946777	428.5979614	327.1101685	388.1054688	236.7562408	348.4769897	73.56000519	470.7331543	347.9763794	434.5157166	373.2294922	339.4611206	295.8492126	389.4047852	400.1837463	444.7967834	486.6138611	707.8825073	168.1695709	350.9399109	384.8471985	262.2817993	380.0012207	479.5760193	44751.37109	68254.36719	51316.55469	118559.8047	49121	109735.7813	380.9328003	2126.608398	353.5231018	1098.011719	220.8664246	2056.862549
Q12774	Q12774	ARHG5_HUMAN	ARHGEF5	14	0.000198255	239.8595123	438.5571289	338.4084473	297.6243591	132.5910492	266.2980652	299.2000427	204.8419952	1898.169189	200.033783	356.8092957	254.6159058	5360.334473	304.2036743	232.1157532	221.932663	414.9482422	421.1134338	290.9544678	369.9564819	287.7946777	428.5979614	327.1101685	388.1054688	236.7562408	348.4769897	73.56000519	470.7331543	347.9763794	11346.1123	15266.7207	8448.753906	5305.460938	389.4047852	5240.705078	15984.79688	17212.51953	8791.793945	168.1695709	350.9399109	3949.591553	262.2817993	380.0012207	9579.111328	9628.830078	23316.09766	13410.28906	65648.95313	11188.03809	43484.77344	6328.136719	601.3488159	2252.615967	229.3587646	220.8664246	325.0339966
Q12778	Q12778	FOXO1_HUMAN	FOXO1	8	0.000225683	239.8595123	438.5571289	338.4084473	297.6243591	9251.313477	31811.92383	19530.41797	28411.64453	290.2232666	200.033783	356.8092957	8147.112793	13085.26367	8471.731445	232.1157532	221.932663	414.9482422	75019.48438	27196.55078	19449.63281	287.7946777	428.5979614	327.1101685	388.1054688	236.7562408	348.4769897	73.56000519	470.7331543	347.9763794	6471.45752	6116.530762	6195.245117	295.8492126	389.4047852	400.1837463	11352.74609	8929.246094	9324.513672	168.1695709	350.9399109	384.8471985	262.2817993	380.0012207	479.5760193	230.8133087	562.2915649	240.8029175	377.5259094	3127.31958	229.5675659	41000.95703	38472.29688	41547.24609	229.3587646	220.8664246	5074.351074
Q12788	Q12788	TBL3_HUMAN	TBL3	18	0.000198255	4276.852539	438.5571289	338.4084473	4808.349609	6520.67627	14361.32227	13157.76953	11548.74316	16638.44531	23290.82617	25300.99414	41093.31641	59584.92188	43626.26563	29531.8418	16463.30273	50949.54688	70590.75781	73652.54688	89349.59375	9832.680664	14358.63281	5943.686035	27453.69141	43969.76953	25109.21289	9986.967773	10350.96777	12468.39746	45692.03125	56089.61328	54941.38281	8362.982422	10347.63867	32736.44531	24144.17773	31495.52539	69918.1875	9043.46875	11834.61035	23617.61719	24445.15039	32780.16797	46348.97266	25016.48047	11278.3291	79473.45313	13291.69824	38325.95313	14876.2666	32209.48438	62376.01172	37194.76172	9838.685547	13316.00488	14685.36426
Q12789	Q12789	TF3C1_HUMAN	GTF3C1	39	0.000198255	239.8595123	8423.118164	338.4084473	297.6243591	4527.368164	13006.95117	11123.82227	10943.16309	7371.512695	8925.117188	8425.799805	24760.44727	42291.99609	25034.54688	3897.16333	1146.10376	1691.568359	15715.58691	14941.06836	12723.32227	1299.120728	3583.680908	1877.482544	15871.61035	19907.72266	14872.69629	3242.120117	3092.993164	3163.837646	22519.66211	17591.32227	27784.36719	4207.625977	6480.290039	6347.177246	34546.57031	30327.60156	28601.9375	585.2896118	2738.355225	3401.16748	10884.14941	11379.60254	16421.29492	26229.68359	22811.71289	27154.84766	18589.52148	20744.19727	27340.87109	36340.02734	35906.39063	33290.60938	229.3587646	220.8664246	4957.154297
Q12792	Q12792	TWF1_HUMAN	TWF1	10	0.000198255	239.8595123	438.5571289	338.4084473	297.6243591	132.5910492	266.2980652	299.2000427	204.8419952	4307.158203	6808.328125	6329.061523	8071.658691	14142.25098	7611.543945	4726.463379	5862.01123	414.9482422	16282.04492	17117.0625	12149.72949	287.7946777	428.5979614	327.1101685	4124.691406	6122.125488	348.4769897	4621.598145	4527.193359	5077.565918	11972.01758	34175.00391	22468.19922	13334.7666	19063.8457	16399.85938	39153.17578	54277.46484	35804.9375	168.1695709	350.9399109	12123.8916	14395.01855	18394.14063	23533.88086	12623.65918	15211.37891	11982.45215	15486.56348	10298.88184	20816.25586	5727.65332	11790.08789	10421.26367	3459.174561	3333.391846	9063.138672
